INSEE_CO;CP;SUPERFICIE;POPULATION;prob;severite;type_evt;survenance;csq;date_dépôt;Heure_dépôt;date_prevision;Type 
40088;40100;1973;20299;50;1;Inondations fluviales;Matin;;16/12/2019;21;16/12/2019;Information
65019;65360;509;512;50;1;Inondations fluviales;Matin;;16/12/2019;21;16/12/2019;Information
65383;65220;1256;181;50;1;Inondations fluviales;Matin;;16/12/2019;21;16/12/2019;Information
32233;32230;2090;1241;50;1;Inondations fluviales;Matin;;16/12/2019;21;16/12/2019;Information
65069;65250;765;1176;50;1;Inondations fluviales;Matin;;16/12/2019;21;16/12/2019;Information
64091;64510;373;369;50;1;Inondations fluviales;Matin;;16/12/2019;21;16/12/2019;Information
64268;64130;968;265;50;1;Inondations fluviales;Matin;;16/12/2019;21;16/12/2019;Information
65189;65320;276;250;50;1;Inondations fluviales;Matin;;16/12/2019;21;16/12/2019;Information
64041;64320;223;634;50;1;Inondations fluviales;Matin;;16/12/2019;21;16/12/2019;Information
65319;65150;702;135;50;1;Inondations fluviales;Matin;;16/12/2019;21;16/12/2019;Information
