INSEE_CO;CP;SUPERFICIE;POPULATION;prob;severite;type_evt;survenance;csq;date_bulletin;Heure_d�p�t;date_prevision;Type 
11170;11430;6271;4644;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09161;09600;1213;633;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09166;09300;589;105;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11087;11270;1375;79;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11372;11600;1187;380;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66117;66210;40;216;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09311;09110;366;19;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66167;66800;1132;1037;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11230;11140;1668;27;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11058;11240;1010;260;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11233;11120;530;765;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11066;11340;1155;115;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
34226;34310;3009;1605;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09220;09110;7154;189;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
34302;34210;2101;685;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11051;11270;727;175;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11184;11420;1296;100;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09157;09600;1434;2654;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
34092;34310;2594;984;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09318;09250;256;119;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09218;09110;1854;82;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11072;11270;1251;204;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66120;66340;570;67;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11217;11120;574;1180;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
09074;09500;1031;165;40;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11207;11300;467;235;60;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11044;11330;2628;93;60;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66157;66360;1021;23;60;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11197;11300;719;604;60;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66206;66230;2647;95;60;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11007;11330;1745;99;60;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11029;11580;1458;73;60;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11272;11570;1498;2127;60;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
66204;66500;1368;327;60;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11065;11190;2655;71;60;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11039;11300;669;43;60;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11137;11330;1036;134;60;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11020;11330;2152;32;60;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11090;11300;684;655;60;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11229;11140;884;24;60;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11201;11250;1174;752;60;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11387;11220;863;80;60;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11069;11000;6514;47268;60;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11257;11800;1463;204;60;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
11105;11300;643;666;60;2;Inondations pluies;Matin;;22/01/2020;7;22/01/2020;Alerte
